URL Audit — polintel-feeds sources.yaml
Generated: 2026-03-26
Format: enabled  tier       status  name                                      url
yes  generic    404  Centre for London                         https://www.centreforlondon.org/about/work-with-us/ -> https://centreforlondon.org/about/work-with-us/
yes  generic    404  New Local                                 https://www.newlocal.org.uk/about/work-for-us/
yes  generic    404  CLES                                      https://cles.org.uk/about-us/work-with-us/
yes  generic    404  Green Alliance                            https://green-alliance.org.uk/about-us/work-for-us/
yes  generic    200  E3G                                       https://www.e3g.org/about/careers/
yes  generic    200  IIED                                      https://www.iied.org/vacancies -> https://www.iied.org/search?k=vacancies
yes  generic    200  King's Fund                               https://www.kingsfund.org.uk/about-us/jobs
yes  generic    403  Health Foundation                         https://www.health.org.uk/about-the-health-foundation/work-for-us
yes  generic    404  Nuffield Trust                            https://www.nuffieldtrust.org.uk/about/work-for-us
yes  generic    404  EPI                                       https://epi.org.uk/about-us/vacancies/
yes  generic    200  HEPI                                      https://www.hepi.ac.uk/about/vacancies/ -> https://www.hepi.ac.uk/about-us/vacancies/
yes  generic    404  Theos                                     https://www.theosthinktank.co.uk/about/work-with-us
yes  generic    404  BFPG                                      https://bfpg.co.uk/about/careers/
yes  generic    404  JRF                                       https://www.jrf.org.uk/about-us/jobs
yes  generic    404  IDS                                       https://www.ids.ac.uk/about/working-at-ids/
yes  generic    404  Constitution Unit                         https://www.ucl.ac.uk/constitution-unit/about-us/jobs -> https://www.ucl.ac.uk/social-historical-sciences/constitution-unit/about-us/jobs
yes  generic    404  IWA                                       https://www.iwa.wales/about/vacancies/
yes  generic    200  Reform Scotland                           https://reformscotland.com -> https://www.enlighten.scot/
yes  generic    404  Conservative Party                        https://www.conservatives.com/jobs
yes  generic    200  Labour Party                              https://labour.org.uk/jobs/ -> https://labour.org.uk/about-us/
yes  generic    200  Liberal Democrats                         https://www.libdems.org.uk/jobs -> https://www.libdems.org.uk/work-for-us
yes  generic    200  SNP                                       https://www.snp.org/jobs -> https://www.snp.org/jobs/
yes  generic    ERR  Plaid Cymru                               https://www.plaidcymru.com/jobs  [ConnectTimeout: ]
yes  generic    200  Green Party                               https://www.greenparty.org.uk/jobs -> https://greenparty.org.uk/get-involved/work-for-us/
yes  generic    200  Co-operative Party                        https://party.coop/jobs/ -> https://party.coop/jobs
yes  generic    404  FGS Global                                https://fgsglobal.com/careers/ -> https://fgsglobal.com/careers
yes  generic    404  Hanbury Strategy                          https://www.hanburystrategy.com/careers -> https://hanburystrategy.com/careers
yes  generic    200  Portland Communications                   https://portland-communications.com/careers/
yes  generic    200  APCO Worldwide                            https://www.apcoworldwide.com/careers/ -> https://apcoworldwide.com/404/
yes  generic    200  Burson                                    https://www.bursonglobal.com/careers
yes  generic    200  FTI Consulting                            https://www.fticonsulting.com/careers
yes  generic    403  Teneo                                     https://www.teneo.com/careers/
yes  generic    200  SEC Newgate                               https://www.secnewgate.co.uk/careers/ -> https://www.secnewgate.co.uk/about-us
yes  generic    200  WA Communications                         https://www.wacomms.co.uk/careers/ -> https://www.wacomms.co.uk/careers-purpose/
